trainer_name,sprint_starts,wins,sprint_strike,expected_wins,expected_strike,break_on_top,break_on_top_strike,break_on_top_and_won,break_on_top_and_won_strike,break_on_top_expected_wins,break_on_top_and_won_expected_strike,break_last,break_last_strike,break_last_and_won,break_last_and_won_strike,break_last_expected_wins,break_last_and_won_expected_strike
Ben Colebrook,101,7,0.069306931,10.19886336,0.099009901,5,0.04950495,0,0,0.33509257,0,25,0.247524752,2,0.01980198,2.117195094,0.01980198
Carlos A Padilla,58,5,0.086206897,3.8618251,0.068965517,5,0.086206897,1,0.017241379,0.437174367,0,17,0.293103448,0,0,0.984385663,0.017241379
Francisco D'Angelo,58,3,0.051724138,3.302979374,0.051724138,5,0.086206897,0,0,0.246591155,0,11,0.189655172,1,0.017241379,0.744960139,0.017241379
William D. Cowans,65,12,0.184615385,11.86015754,0.184615385,5,0.076923077,2,0.030769231,1.222068629,0.015384615,7,0.107692308,1,0.015384615,1.271222575,0.015384615
Wayne M. Catalano,117,9,0.076923077,15.11481465,0.128205128,5,0.042735043,2,0.017094017,1.066662533,0.008547009,19,0.162393162,1,0.008547009,2.753669156,0.025641026
Wayne Potts,71,8,0.112676056,7.821097397,0.112676056,5,0.070422535,0,0,0.514877621,0.014084507,8,0.112676056,0,0,1.235234357,0.014084507
"Edward J. Coletti, Jr.",74,11,0.148648649,10.11000867,0.135135135,5,0.067567568,1,0.013513514,0.4292712,0,14,0.189189189,0,0,1.853595753,0.027027027
Frank Lucarelli,90,11,0.122222222,10.67684012,0.122222222,5,0.055555556,2,0.022222222,0.702754827,0.011111111,23,0.255555556,1,0.011111111,2.468195159,0.022222222
Angel M. Rodriguez,56,6,0.107142857,4.960854696,0.089285714,5,0.089285714,1,0.017857143,0.531114512,0.017857143,8,0.142857143,1,0.017857143,0.745223952,0.017857143
Brian A. Lynch,93,11,0.11827957,10.35359376,0.107526882,5,0.053763441,1,0.010752688,0.665539018,0.010752688,17,0.182795699,3,0.032258065,1.95764153,0.021505376
Carl J. Deville,67,8,0.119402985,8.726456967,0.134328358,5,0.074626866,3,0.044776119,0.623942699,0.014925373,13,0.194029851,1,0.014925373,2.039815266,0.029850746
Chris A. Hartman,90,7,0.077777778,8.113537185,0.088888889,5,0.055555556,0,0,0.574898907,0.011111111,19,0.211111111,2,0.022222222,1.714513747,0.022222222
Ronney W. Brown,84,12,0.142857143,13.10677944,0.154761905,5,0.05952381,2,0.023809524,0.819978689,0.011904762,22,0.261904762,1,0.011904762,3.152512704,0.035714286
Stanley I. Gold,59,5,0.084745763,7.236657502,0.118644068,5,0.084745763,0,0,0.494819564,0,9,0.152542373,2,0.033898305,1.330367312,0.016949153
Timothy E. Martin,107,6,0.056074766,5.330952877,0.046728972,4,0.037383178,0,0,0.499436852,0,23,0.214953271,1,0.009345794,1.186133359,0.009345794
William B. Bradley,96,1,0.010416667,5.095371857,0.052083333,4,0.041666667,0,0,0.289428684,0,26,0.270833333,1,0.010416667,1.705841607,0.020833333
Steve M. Sherman,99,3,0.03030303,11.27368338,0.111111111,4,0.04040404,0,0,0.821127914,0.01010101,35,0.353535354,1,0.01010101,3.929622197,0.04040404
"A. Ferris Allen, III",57,1,0.01754386,3.988556498,0.070175439,4,0.070175439,0,0,0.54602729,0.01754386,7,0.122807018,0,0,0.826120344,0.01754386
Brian J. Koriner,72,11,0.152777778,11.02517448,0.152777778,4,0.055555556,1,0.013888889,0.802339989,0.013888889,15,0.208333333,2,0.027777778,2.256435312,0.027777778
James W. Casey,69,20,0.289855072,12.06515316,0.173913043,4,0.057971014,1,0.014492754,0.886246293,0.014492754,13,0.188405797,4,0.057971014,1.972461992,0.028985507
Jeff Mullins,69,6,0.086956522,5.921946727,0.086956522,4,0.057971014,2,0.028985507,0.566340986,0.014492754,12,0.173913043,0,0,0.637017922,0.014492754
Val Brinkerhoff,50,2,0.04,2.018337578,0.04,4,0.08,1,0.02,0.149339138,0,12,0.24,1,0.02,0.669597806,0.02
"Robert E. Reid, Jr.",56,7,0.125,9.748437592,0.178571429,4,0.071428571,3,0.053571429,1.256558018,0.017857143,8,0.142857143,1,0.017857143,1.206581187,0.017857143
Mike Puype,98,13,0.132653061,8.836880243,0.091836735,4,0.040816327,0,0,0.479023173,0,14,0.142857143,1,0.010204082,1.326962868,0.010204082
Kelly R. Von Hemel,68,15,0.220588235,11.31594006,0.161764706,4,0.058823529,1,0.014705882,1.040229654,0.014705882,16,0.235294118,1,0.014705882,2.665341641,0.044117647
Horacio DePaz,55,13,0.236363636,11.18931742,0.2,4,0.072727273,1,0.018181818,0.740274419,0.018181818,12,0.218181818,1,0.018181818,2.520086667,0.054545455
Charlton Baker,86,11,0.127906977,9.122978184,0.104651163,4,0.046511628,1,0.011627907,0.394459583,0,17,0.197674419,2,0.023255814,1.637067247,0.023255814
"Saffie A. Joseph, Jr.",98,14,0.142857143,18.48943332,0.183673469,4,0.040816327,1,0.010204082,0.548908086,0.010204082,16,0.163265306,1,0.010204082,2.326095977,0.020408163
William R. Helmbrecht,52,4,0.076923077,3.929844178,0.076923077,4,0.076923077,1,0.019230769,0.339860011,0,7,0.134615385,0,0,0.332471104,0
Jamey R. Thomas,57,12,0.210526316,8.607388426,0.157894737,4,0.070175439,3,0.052631579,1.41781208,0.01754386,12,0.210526316,1,0.01754386,1.145150387,0.01754386
Lee Thomas,107,13,0.121495327,9.46197348,0.08411215,4,0.037383178,1,0.009345794,0.422749577,0,25,0.23364486,1,0.009345794,1.850494121,0.018691589
Kiaran P. McLaughlin,98,7,0.071428571,13.17356338,0.132653061,4,0.040816327,0,0,0.501657976,0.010204082,24,0.244897959,1,0.010204082,3.036957405,0.030612245
Genaro Garcia,55,5,0.090909091,5.567020943,0.109090909,4,0.072727273,1,0.018181818,0.712227461,0.018181818,7,0.127272727,0,0,0.458567278,0
"George R. Arnold, II",74,4,0.054054054,5.233637,0.067567568,4,0.054054054,0,0,0.276938923,0,20,0.27027027,0,0,1.761659421,0.027027027
Kenneth Westlye,65,3,0.046153846,3.390191058,0.046153846,4,0.061538462,0,0,0.133355744,0,20,0.307692308,0,0,1.26061484,0.015384615
James K. Chapman,124,8,0.064516129,13.99636965,0.112903226,4,0.032258065,0,0,0.218028546,0,35,0.282258065,0,0,3.912203984,0.032258065
Sid C. Attard,73,12,0.164383562,10.4989089,0.136986301,4,0.054794521,1,0.01369863,0.589089431,0.01369863,15,0.205479452,3,0.04109589,2.298331675,0.02739726
Teresa Connelly,66,6,0.090909091,8.19766947,0.121212121,4,0.060606061,1,0.015151515,0.690302899,0.015151515,14,0.212121212,2,0.03030303,1.430187541,0.015151515
Dale L. Romans,149,14,0.093959732,15.25067421,0.100671141,4,0.026845638,1,0.006711409,0.544635686,0.006711409,23,0.154362416,1,0.006711409,1.350679824,0.006711409
T. Bernard Houghton,123,13,0.105691057,13.72146089,0.113821138,4,0.032520325,2,0.016260163,0.493515261,0,38,0.308943089,1,0.008130081,3.924064987,0.032520325
William Delia,93,12,0.129032258,8.519689342,0.096774194,4,0.043010753,1,0.010752688,0.538214198,0.010752688,27,0.290322581,3,0.032258065,2.066044251,0.021505376
Crystal G. Pickett,62,6,0.096774194,5.786561847,0.096774194,3,0.048387097,0,0,0.479309385,0,15,0.241935484,0,0,1.317013423,0.016129032
Gary C. Contessa,97,7,0.072164948,6.84895084,0.072164948,3,0.030927835,1,0.010309278,0.183621698,0,26,0.268041237,1,0.010309278,1.690859809,0.020618557
John J. Robb,50,6,0.12,6.860937595,0.14,3,0.06,1,0.02,0.373333333,0,8,0.16,0,0,1.074693948,0.02
Bruce R. Brown,55,3,0.054545455,2.676058529,0.054545455,3,0.054545455,0,0,0.104906008,0,8,0.145454545,0,0,0.228835209,0
"Victor Barboza, Jr.",88,14,0.159090909,14.49391003,0.159090909,3,0.034090909,2,0.022727273,0.466807768,0,14,0.159090909,0,0,1.950243048,0.022727273
Shelley Brown,50,6,0.12,5.97119722,0.12,3,0.06,2,0.04,0.763088803,0.02,20,0.4,2,0.04,2.692205134,0.06
Donnie K. Von Hemel,109,11,0.100917431,8.640453507,0.082568807,3,0.027522936,1,0.009174312,0.386162255,0,29,0.266055046,2,0.018348624,1.792849337,0.018348624
John P. Terranova II,50,5,0.1,4.949681842,0.1,3,0.06,1,0.02,0.2483628,0,15,0.3,0,0,1.080384962,0.02
D. Wayne Lukas,80,1,0.0125,5.269831384,0.0625,3,0.0375,0,0,0.212821454,0,13,0.1625,0,0,0.824621049,0.0125
Ashlee Brnjas,82,1,0.012195122,4.026426317,0.048780488,3,0.036585366,0,0,0.139019103,0,23,0.280487805,0,0,1.061763961,0.012195122
Gregory D. Sacco,66,7,0.106060606,8.988246731,0.136363636,3,0.045454545,1,0.015151515,0.457793011,0,18,0.272727273,4,0.060606061,2.598011104,0.045454545
Eoin G. Harty,94,4,0.042553191,10.56040437,0.117021277,3,0.031914894,0,0,0.378464697,0,26,0.276595745,1,0.010638298,3.201577783,0.031914894
Rodney C. Faulkner,68,1,0.014705882,5.148759759,0.073529412,3,0.044117647,0,0,0.235121569,0,16,0.235294118,0,0,0.921626709,0.014705882
Joe S. Offolter,65,4,0.061538462,4.779691605,0.076923077,3,0.046153846,1,0.015384615,0.39675924,0,15,0.230769231,0,0,0.970113647,0.015384615
Randy L. Morse,67,4,0.059701493,5.359486653,0.074626866,3,0.044776119,0,0,0.123095426,0,8,0.119402985,0,0,0.895441401,0.014925373
John C. Kimmel,62,5,0.080645161,4.961805725,0.080645161,3,0.048387097,2,0.032258065,0.142652888,0,16,0.258064516,1,0.016129032,1.40959421,0.016129032
Norm W. Casse,56,9,0.160714286,8.67234048,0.160714286,3,0.053571429,1,0.017857143,0.378184284,0,8,0.142857143,1,0.017857143,1.478039068,0.017857143
Timothy L. Keefe,81,3,0.037037037,4.340656758,0.049382716,3,0.037037037,0,0,0.14857423,0,18,0.222222222,1,0.012345679,1.1296527,0.012345679
