DATE,RACE,CLASS,RACE NAME,DIST,SURF,STARTER NAME,PP,ODDS,FAVE,FIN,TRAINER,JOCKEY,TIME,PREV RACE,DAYS,SIRE,NOTES
8/28/19,7,MSW-F,,5.5,Turf,Morality Clause,2,11.70,FALSE,9,Raymond Handal,Manuel Franco,1:03.893,SAR 7/31 5,28,Verrazano,
8/28/19,7,MSW-F,,5.5,Turf,Coin the Phrase,8,41.25,FALSE,10,James Toner,Kendrick Carmouche,1:03.931,,,Goldencents,
8/28/19,9,GRD,With Anticipation S.,8.5,Turf,Fighting Seabee,4,5.30,FALSE,1,Kenneth McPeek,"Brian Hernandez, Jr.",1:43.340,ELP 7/6 6,53,Summer Front,
8/28/19,9,GRD,With Anticipation S.,8.5,Turf,Field Pass,6,4.10,FALSE,2,Michael Maker,Luis Saez,1:43.501,SAR 7/13 6,46,Lemon Drop Kid,
8/28/19,9,GRD,With Anticipation S.,8.5,Turf,Andesite,5,8.60,FALSE,3,Brad Cox,Javier Castellano,1:43.742,IND 7/10 6,49,The Factor,
8/28/19,9,GRD,With Anticipation S.,8.5,Turf,Our Country,2,1.20,TRUE,4,George Weaver,Manuel Franco,1:43.783,SAR 8/3 1,25,Constitution,
8/28/19,9,GRD,With Anticipation S.,8.5,Turf,Fly Fly Away,3,16.40,FALSE,5,Christophe Clement,"Irad Ortiz, Jr.",1:44.025,SAR 8/9 4,19,First Samurai,
8/28/19,9,GRD,With Anticipation S.,8.5,Turf,Tuggle,1,3.35,FALSE,6,Jeremiah Englehart,Jose Ortiz,1:44.307,SAR 8/10 8,18,Point of Entry,
8/29/19,1,MSW-NY-F,,6,Dirt,Irish Danzing,5,4.40,FALSE,1,Christophe Clement,"Irad Ortiz, Jr.",1:10.550,,,Danza,
8/29/19,1,MSW-NY-F,,6,Dirt,Aubrey Tate,2,3.20,FALSE,2,Norm Casse,"Ricardo Santana, Jr.",1:11.563,SAR 7/31 3,29,Bayern,
8/29/19,1,MSW-NY-F,,6,Dirt,More Glitter,4,2.20,TRUE,3,Todd Pletcher,John Velazquez,1:11.836,,,More Than Ready,
8/29/19,1,MSW-NY-F,,6,Dirt,Tequila Fog,1,14.50,FALSE,4,Dermot Magner,Chris Landeros,1:12.615,,,Giant Surprise,
8/29/19,1,MSW-NY-F,,6,Dirt,Bingolina,6,5.60,FALSE,5,John Kimmel,Dylan Davis,1:13.200,,,Tapizar,
8/29/19,1,MSW-NY-F,,6,Dirt,Welsh Gold,10,11.70,FALSE,6,Gregory Sacco,Luis Saez,1:13.628,,,Bodemeister,
8/29/19,1,MSW-NY-F,,6,Dirt,Keypit,8,10.00,FALSE,7,Thomas Albertrani,Jose Lezcano,1:13.706,SAR 7/11 5,49,Congrats,
8/29/19,1,MSW-NY-F,,6,Dirt,Ama Is a Rock,9,73.50,FALSE,8,Gary Sciacca,Eric Cancel,1:14.525,,,Frost Giant,
8/29/19,1,MSW-NY-F,,6,Dirt,Surprise Arrival,3,18.50,FALSE,9,Michael Maker,Jose Ortiz,1:14.797,SAR 8/15 2,14,Lea,
8/29/19,1,MSW-NY-F,,6,Dirt,Barker Lane,7,74.75,FALSE,10,Edward Barker,Heman Harkie,1:14.992,SAR 7/31 3,29,Bellamy Road,
8/29/19,7,MSW-NY-F,,6,Dirt,Critical Value,9,1.05,TRUE,1,Jeremiah Englehart,Junior Alvarado,1:10.820,SAR 8/7 5,22,Bodemeister,
8/29/19,7,MSW-NY-F,,6,Dirt,Myawaya,3,3.05,FALSE,2,Todd Pletcher,John Velazquez,1:11.250,SAR 7/17 5,43,Wicked Strong,
