rid,winningTime,ncond,class,age,decimalPrice,isFav,outHandicap,RPR,OR,TR,runners,res_win
154193,306.6,10,4,5,0.0769230769230769,0.0,2.54135893648449,85.0,89.0,17.0,12.0,0.0
154193,306.6,10,4,6,0.0909090909090909,0.0,2.54135893648449,100.0,105.0,31.0,12.0,0.0
154193,306.6,10,4,6,0.0294117647058823,0.0,2.54135893648449,75.0,102.0,4.0,12.0,0.0
155234,316.93,10,3,7,0.2,0.0,2.54135893648449,132.0,125.0,95.0,10.0,1.0
155234,316.93,10,3,8,0.0344827586206896,0.0,2.54135893648449,124.0,120.0,87.0,10.0,0.0
155234,316.93,10,3,5,0.0476190476190476,0.0,2.54135893648449,113.0,112.0,77.0,10.0,0.0
155234,316.93,10,3,6,0.0769230769230769,0.0,2.54135893648449,102.0,101.0,65.0,10.0,0.0
155234,316.93,10,3,7,0.1428571428571428,0.0,2.54135893648449,121.0,121.0,85.0,10.0,0.0
155234,316.93,10,3,11,0.1333333333333333,0.0,2.54135893648449,116.0,116.0,79.0,10.0,0.0
155234,316.93,10,3,6,0.2666666666666666,1.0,2.54135893648449,119.0,122.0,80.0,10.0,0.0
155234,316.93,10,3,10,0.0294117647058823,0.0,2.54135893648449,108.0,125.0,71.0,10.0,0.0
155234,316.93,10,3,8,0.1333333333333333,0.0,2.54135893648449,85.0,125.0,46.0,10.0,0.0
158434,398.1,5,3,7,0.2222222222222222,1.0,2.54135893648449,143.0,127.0,58.0,10.0,1.0
158434,398.1,5,3,9,0.0909090909090909,0.0,2.54135893648449,143.0,132.0,58.0,10.0,0.0
158434,398.1,5,3,11,0.1818181818181818,0.0,2.54135893648449,110.0,110.0,26.0,10.0,0.0
158434,398.1,5,3,8,0.0769230769230769,0.0,2.54135893648449,124.0,125.0,41.0,10.0,0.0
163262,102.09,0,5,4,0.25,0.0,2.54135893648449,67.0,61.0,28.0,7.0,1.0
163262,102.09,0,5,5,0.2,0.0,2.54135893648449,77.0,73.0,38.0,7.0,0.0
163262,102.09,0,5,5,0.0344827586206896,0.0,2.54135893648449,69.0,66.0,29.0,7.0,0.0
163262,102.09,0,5,7,0.1538461538461538,0.0,2.54135893648449,74.0,72.0,33.0,7.0,0.0
163262,102.09,0,5,6,0.1176470588235294,0.0,2.54135893648449,64.0,64.0,22.0,7.0,0.0
